Payment Method,Pt Amount,From Country,Institute
International Bank Transfer in British Pounds (GBP),"£7,741.00",Indonesia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Iraq,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.779,00 €",Ireland,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.864,00 €",Ireland,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.864,00 €",Ireland,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.864,00 €",Ireland,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Ireland,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.779,00 €",Ireland,SUNY Jamestown Community College - FSA Residence Life
American Express in GBP,"£7,816.00",Isle of Man,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in GBP,"£7,816.00",Isle of Man,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in GBP,"£7,816.00",Isle of Man,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,742.00",Isle of Man,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Israeli Shekels (ILS),"?37,154.00",Israel,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in ILS,"?38,133.00",Israel,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.779,00 €",Italy,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.864,00 €",Italy,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.864,00 €",Italy,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.864,00 €",Italy,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Italy,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.779,00 €",Italy,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in JMD,"J$1,381,000.00",Jamaica,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Jamaica,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Japanese Yen (JPY),"¥1,125,500",Japan,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in JPY,"¥1,153,400",Japan,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in JPY,"¥1,153,400",Japan,SUNY Jamestown Community College - FSA Residence Life
American Express in JPY,"¥1,153,400",Japan,SUNY Jamestown Community College - FSA Residence Life
American Express in GBP,"£7,815.00",Jersey,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in GBP,"£7,815.00",Jersey,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in GBP,"£7,815.00",Jersey,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,741.00",Jersey,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in JOD,"?.?7,472.00",Jordan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Jordan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in KZT,"3,563,700.00 KZT",Kazakhstan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Kazakhstan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in KES,"KSh1,061,754.00",Kenya,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.779,00 €",Kenya,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Kenya,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,150.00",Kiribati,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,150.00",Kiribati,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Kiribati,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,792.00",Kiribati,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in South Korean Won (KRW),"?11,361,000.00","Korea, Republic of",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in KRW,"?11,756,000.00","Korea, Republic of",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in KWD,"?.?3,188.000",Kuwait,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Kuwait,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.779,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.864,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.864,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.864,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.779,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.948,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.778,00 €",Latvia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in LBP,"£15,885,143.00",Lebanon,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Lebanon,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in LSL,"142,700.00 L",Lesotho,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in ZAR,"R141,906.00",Lesotho,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in ZAR,"R141,906.00",Lesotho,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Lesotho,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in CHF,"Fr10,340.00",Liechtenstein,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in CHF,"Fr10,340.00",Liechtenstein,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Liechtenstein,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in CHF,"Fr10,340.00",Liechtenstein,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in CHF,"Fr10,340.00",Liechtenstein,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Liechtenstein,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",Lithuania,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.864,00 €",Lithuania,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.950,00 €",Lithuania,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.780,00 €",Lithuania,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",Luxembourg,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.865,00 €",Luxembourg,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.865,00 €",Luxembourg,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.865,00 €",Luxembourg,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.950,00 €",Luxembourg,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MOP,"85,174.00 MOP$",Macao,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Macao,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Macedonia, the former Yugoslav Republic of",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MKD,"553,450.00 ???","Macedonia, the former Yugoslav Republic of",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MYR,"RM42,380.00",Malaysia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Malaysian Ringgit (MYR),"RM41,040.00",Malaysia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MYR,"RM42,380.00",Malaysia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Malaysian Ringgit (MYR),"RM41,040.00",Malaysia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MVR,"162,400.00 Rf",Maldives,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Maldives,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XOF,"5,901,100.00 CFA",Mali,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Mali,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",Malta,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.864,00 €",Malta,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.864,00 €",Malta,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.864,00 €",Malta,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.950,00 €",Malta,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.780,00 €",Malta,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Marshall Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.779,00 €",Martinique,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Mauritania,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in MRO,"3,753,700.0 UM",Mauritania,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in MRO,"3,753,700.0 UM",Mauritania,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Mauritian Rupee (MUR),"?355,093.00",Mauritius,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MUR,"?366,693.00",Mauritius,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Mayotte,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Mexican Pesos (MXN),"$206,314.00",Mexico,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MXN,"$209,793.00",Mexico,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Micronesia, Federated States of",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MNT,"25,879,900.00 ?",Mongolia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Mongolia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MNT,"25,876,100.00 ?",Mongolia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Mongolia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.778,00 €",Montenegro,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Montenegro,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Montenegro,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Montenegro,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.948,00 €",Montenegro,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in XCD,"$28,500.00",Montserrat,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in XCD,"$28,500.00",Montserrat,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Montserrat,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MAD,"99,867.00 ?.?.",Morocco,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Morocco,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in MZN,"MTn626.600,00",Mozambique,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Mozambique,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Myanmar,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in NAD,"142,661.00 N$",Namibia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in ZAR,"R141,886.00",Namibia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in ZAR,"R141,886.00",Namibia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Namibia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R139,187.00",Namibia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,150.00",Nauru,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,150.00",Nauru,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Nauru,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in NPR,"?1,155,070.00",Nepal,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Nepal,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.778,00 €",Netherlands,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.778,00 €",Netherlands,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Netherlands,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Netherlands,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Netherlands,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Netherlands,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XPF,"1,073,428.00 Fr",New Caledonia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",New Caledonia,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in New Zealand Dollar (NZD),"$14,958.00",New Zealand,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in NZD,"$15,209.00",New Zealand,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in NZD,"$15,209.00",New Zealand,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in NIO,"332,600.00 C$",Nicaragua,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Nicaragua,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XOF,"5,900,700.00 CFA",Niger,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Niger,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer in NGN,"3,851,064.00 ?",Nigeria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in NGN,"3,851,064.00 ?",Nigeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Nigeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.779,00 €",Nigeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,794.00",Niue,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,150.00",Norfolk Island,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,150.00",Norfolk Island,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Norfolk Island,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Northern Mariana Islands,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Norwegian Krone (NOK),"kr83.271,00",Norway,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in NOK,"kr84.075,00",Norway,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in NOK,"kr84.075,00",Norway,SUNY Jamestown Community College - FSA Residence Life
American Express in NOK,"kr84.075,00",Norway,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"kr83.271,00",Norway,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in OMR,"?.?.4,052.000",Oman,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Oman,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in PKR,"?1,281,560.00",Pakistan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Pakistan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Palau,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Palestinian Territory, Occupied",SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Panama,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in PGK,"34,349.00 K",Papua New Guinea,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Papua New Guinea,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,794.00",Papua New Guinea,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in PYG,"?59,927,300.00",Paraguay,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Paraguay,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in PEN,"S/.34,458.00",Peru,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Peru,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,738.00",Peru,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Peru,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in PHP,"?562,855.00",Philippines,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Philippines,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,795.00",Pitcairn,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer from a Polish Z?oty (PLN) Account,"38,363.00 z?",Poland,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in PLN,"39,110.00 z?",Poland,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"38,363.00 z?",Poland,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.778,00 €",Portugal,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Portugal,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Portugal,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Portugal,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.948,00 €",Portugal,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.778,00 €",Portugal,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Puerto Rico,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Qatari Riyal (QAR),"37,449.00 ?.?",Qatar,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in QAR,"38,357.00 ?.?",Qatar,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Réunion,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in RON,"RON41.998,00",Romania,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Romanian Leu (RON),"RON41.195,00",Romania,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"RON41.195,00",Romania,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in RUB,"661.440,00 ???",Russian Federation,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Russian Federation,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.779,00 €",Russian Federation,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,738.00",Russian Federation,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in RWF,"9,160,700.00 FRw",Rwanda,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Rwanda,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.779,00 €",Saint Barthélemy,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Saint Barthélemy,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XCD,"$28,500.00",Saint Lucia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Lucia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XCD,"$28,500.00",Saint Lucia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Lucia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Martin (French part),SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Saint Pierre and Miquelon,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Pierre and Miquelon,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Canadian Dollars (CAD),"$13,638.00",Saint Pierre and Miquelon,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XCD,"$28,500.00",Saint Vincent and the Grenadines,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Vincent and the Grenadines,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Saudi Riyal (SAR),"?.?38,581.00",Saudi Arabia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in SAR,"?.?39,516.00",Saudi Arabia,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Saudi Riyal (SAR),"?.?38,581.00",Saudi Arabia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in SAR,"?.?39,516.00",Saudi Arabia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XOF,"5,900,300.00 CFA",Senegal,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in RSD,"???1,062,000.00",Serbia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Serbia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Serbia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in SCR,"142,535.00 ?",Seychelles,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Seychelles,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in SLL,"85,032,300.00 Le",Sierra Leone,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Sierra Leone,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Singapore Dollar(SGD),"S$13,960.00",Singapore,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in SGD,"S$14,267.00",Singapore,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in SGD,"S$14,267.00",Singapore,SUNY Jamestown Community College - FSA Residence Life
American Express in SGD,"S$14,267.00",Singapore,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.778,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.948,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.778,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.779,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.779,00 €",Slovenia,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in South African Rand (ZAR),"R140,343.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in ZAR,"R141,961.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in ZAR,"R141,961.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
American Express in ZAR,"R141,961.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in South African Rand (ZAR),"R140,339.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in ZAR,"R141,957.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in ZAR,"R141,957.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
American Express in ZAR,"R141,957.00",South Africa,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in GBP,"£7,812.00",South Georgia and the South Sandwich Islands,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in GBP,"£7,812.00",South Georgia and the South Sandwich Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",South Georgia and the South Sandwich Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",South Sudan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",South Sudan,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.778,00 €",Spain,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Spain,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Spain,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Spain,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.948,00 €",Spain,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.778,00 €",Spain,SUNY Jamestown Community College - FSA Residence Life
