Debit/Credit Card in AFN,"769,842.00 ?",Afghanistan,Miami University receives
PayPal in EUR,"9.008,00 €",Latvia,Miami University receives
Online Bank Transfer,"8.837,00 €",Latvia,Miami University receives
,,Latvia,Miami University receives
Debit/Credit Card in LBP,"£15,885,143.00",Lebanon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lebanon,Miami University receives
Debit/Credit Card in LSL,"144,400.00 L",Lesotho,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,701.00",Lesotho,Miami University receives
VISA: Debit/Credit in ZAR,"R143,701.00",Lesotho,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lesotho,Miami University receives
Debit/Credit Card in LRD,"1,554,460.00 L$",Liberia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Liberia,Miami University receives
Debit/Credit Card in LYD,"14,486.000 LD",Libyan Arab Jamahiriya,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Libyan Arab Jamahiriya,Miami University receives
MasterCard: Debit/Credit in CHF,"Fr10,424.00",Liechtenstein,Miami University receives
VISA: Debit/Credit in CHF,"Fr10,424.00",Liechtenstein,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Liechtenstein,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.837,00 €",Lithuania,Miami University receives
American Express in EUR,"8.922,00 €",Lithuania,Miami University receives
PayPal in EUR,"9.009,00 €",Lithuania,Miami University receives
Online Bank Transfer,"8.837,00 €",Lithuania,Miami University receives
,,Lithuania,Miami University receives
,,Lithuania,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.837,00 €",Luxembourg,Miami University receives
VISA: Debit/Credit in EUR,"8.922,00 €",Luxembourg,Miami University receives
MasterCard: Debit/Credit in EUR,"8.922,00 €",Luxembourg,Miami University receives
American Express in EUR,"8.922,00 €",Luxembourg,Miami University receives
PayPal in EUR,"9.008,00 €",Luxembourg,Miami University receives
,,Luxembourg,Miami University receives
Debit/Credit Card in MOP,"85,176.00 MOP$",Macao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Macao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Macedonia, the former Yugoslav Republic of",Miami University receives
Debit/Credit Card in MKD,"556,930.00 ???","Macedonia, the former Yugoslav Republic of",Miami University receives
Debit/Credit Card in MGA,"35,610,000.0 Ar",Madagascar,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Madagascar,Miami University receives
Debit/Credit Card in MWK,"7,645,000.00 MK",Malawi,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Malawi,Miami University receives
Debit/Credit Card in MYR,"RM42,540.00",Malaysia,Miami University receives
Domestic Bank Transfer in Malaysian Ringgit (MYR),"RM41,200.00",Malaysia,Miami University receives
,,Malaysia,Miami University receives
,,Malaysia,Miami University receives
,,Malaysia,Miami University receives
Debit/Credit Card in MVR,"162,480.00 Rf",Maldives,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Maldives,Miami University receives
Debit/Credit Card in XOF,"5,939,400.00 CFA",Mali,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mali,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.837,00 €",Malta,Miami University receives
VISA: Debit/Credit in EUR,"8.923,00 €",Malta,Miami University receives
MasterCard: Debit/Credit in EUR,"8.923,00 €",Malta,Miami University receives
American Express in EUR,"8.923,00 €",Malta,Miami University receives
PayPal in EUR,"9.009,00 €",Malta,Miami University receives
Online Bank Transfer,"8.837,00 €",Malta,Miami University receives
,,Malta,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Marshall Islands,Miami University receives
International Bank Transfer in Euros (EUR),"8.838,00 €",Martinique,Miami University receives
,,Martinique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mauritania,Miami University receives
MasterCard: Debit/Credit in MRO,"3,751,500.0 UM",Mauritania,Miami University receives
VISA: Debit/Credit in MRO,"3,751,500.0 UM",Mauritania,Miami University receives
Bank Transfer in Mauritian Rupee (MUR),"?354,536.00",Mauritius,Miami University receives
Debit/Credit Card in MUR,"?366,117.00",Mauritius,Miami University receives
,,Mauritius,Miami University receives
,,Mauritius,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mayotte,Miami University receives
Domestic Bank Transfer in Mexican Pesos (MXN),"$204,201.00",Mexico,Miami University receives
Debit/Credit Card in MXN,"$207,644.00",Mexico,Miami University receives
,,Mexico,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Micronesia, Federated States of",Miami University receives
Debit/Credit Card in MDL,"177,670.00 MDL","Moldova, Republic of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Moldova, Republic of",Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.840,00 €",Monaco,Miami University receives
VISA: Debit/Credit in EUR,"8.925,00 €",Monaco,Miami University receives
MasterCard: Debit/Credit in EUR,"8.925,00 €",Monaco,Miami University receives
American Express in EUR,"8.925,00 €",Monaco,Miami University receives
PayPal in EUR,"9.011,00 €",Monaco,Miami University receives
,,Monaco,Miami University receives
Debit/Credit Card in MNT,"25,941,000.00 ?",Mongolia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mongolia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.839,00 €",Montenegro,Miami University receives
VISA: Debit/Credit in EUR,"8.924,00 €",Montenegro,Miami University receives
MasterCard: Debit/Credit in EUR,"8.924,00 €",Montenegro,Miami University receives
American Express in EUR,"8.924,00 €",Montenegro,Miami University receives
PayPal in EUR,"9.010,00 €",Montenegro,Miami University receives
,,Montenegro,Miami University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Montserrat,Miami University receives
VISA: Debit/Credit in XCD,"$28,500.00",Montserrat,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Montserrat,Miami University receives
Debit/Credit Card in MAD,"100,211.00 ?.?.",Morocco,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Morocco,Miami University receives
Debit/Credit Card in MZN,"MTn623.700,00",Mozambique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mozambique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Myanmar,Miami University receives
Debit/Credit Card in NAD,"144,582.00 N$",Namibia,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,841.00",Namibia,Miami University receives
VISA: Debit/Credit in ZAR,"R143,841.00",Namibia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Namibia,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,104.00",Namibia,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Nauru,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Nauru,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nauru,Miami University receives
Debit/Credit Card in NPR,"?1,161,650.00",Nepal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nepal,Miami University receives
Online Bank Transfer,"8.840,00 €",Netherlands,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.840,00 €",Netherlands,Miami University receives
VISA: Debit/Credit in EUR,"8.925,00 €",Netherlands,Miami University receives
MasterCard: Debit/Credit in EUR,"8.925,00 €",Netherlands,Miami University receives
American Express in EUR,"8.925,00 €",Netherlands,Miami University receives
PayPal in EUR,"9.011,00 €",Netherlands,Miami University receives
,,Netherlands,Miami University receives
Debit/Credit Card in XPF,"1,080,827.00 Fr",New Caledonia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",New Caledonia,Miami University receives
Bank Transfer in New Zealand Dollar (NZD),"$15,230.00",New Zealand,Miami University receives
VISA: Debit/Credit in NZD,"$15,486.00",New Zealand,Miami University receives
MasterCard: Debit/Credit in NZD,"$15,486.00",New Zealand,Miami University receives
,,New Zealand,Miami University receives
,,New Zealand,Miami University receives
Debit/Credit Card in NIO,"334,100.00 C$",Nicaragua,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nicaragua,Miami University receives
Debit/Credit Card in XOF,"5,941,300.00 CFA",Niger,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Niger,Miami University receives
Online Bank Transfer in NGN,"3,851,064.00 ?",Nigeria,Miami University receives
Debit/Credit Card in NGN,"3,851,064.00 ?",Nigeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nigeria,Miami University receives
International Bank Transfer in Euros (EUR),"8.837,00 €",Nigeria,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,063.00",Niue,Miami University receives
,,Niue,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,200.00",Norfolk Island,Miami University receives
VISA: Debit/Credit in AUD,"A$14,200.00",Norfolk Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Norfolk Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Northern Mariana Islands,Miami University receives
Domestic Bank Transfer in Norwegian Krone (NOK),"kr83.698,00",Norway,Miami University receives
VISA: Debit/Credit in NOK,"kr84.506,00",Norway,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.506,00",Norway,Miami University receives
American Express in NOK,"kr84.506,00",Norway,Miami University receives
Online Bank Transfer,"kr83.698,00",Norway,Miami University receives
,,Norway,Miami University receives
Debit/Credit Card in OMR,"?.?.4,052.000",Oman,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Oman,Miami University receives
Debit/Credit Card in PKR,"?1,283,720.00",Pakistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Pakistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Palau,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Palestinian Territory, Occupied",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Panama,Miami University receives
Debit/Credit Card in PGK,"34,315.00 K",Papua New Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Papua New Guinea,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,054.00",Papua New Guinea,Miami University receives
Debit/Credit Card in PYG,"?59,960,100.00",Paraguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Paraguay,Miami University receives
Debit/Credit Card in PEN,"S/.34,485.00",Peru,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Peru,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,840.00",Peru,Miami University receives
International Bank Transfer in Euros (EUR),"8.830,00 €",Peru,Miami University receives
Debit/Credit Card in PHP,"?562,080.00",Philippines,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Philippines,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,060.00",Pitcairn,Miami University receives
,,Pitcairn,Miami University receives
Bank Transfer from a Polish Z?oty (PLN) Account,"38,661.00 z?",Poland,Miami University receives
Debit/Credit Card in PLN,"39,414.00 z?",Poland,Miami University receives
Online Bank Transfer,"38,661.00 z?",Poland,Miami University receives
,,Poland,Miami University receives
,,Poland,Miami University receives
,,Poland,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Portugal,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Portugal,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Portugal,Miami University receives
American Express in EUR,"8.918,00 €",Portugal,Miami University receives
PayPal in EUR,"9.004,00 €",Portugal,Miami University receives
Online Bank Transfer,"8.832,00 €",Portugal,Miami University receives
,,Portugal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Puerto Rico,Miami University receives
,,Puerto Rico,Miami University receives
Bank Transfer in Qatari Riyal (QAR),"37,449.00 ?.?",Qatar,Miami University receives
Debit/Credit Card in QAR,"38,357.00 ?.?",Qatar,Miami University receives
,,Qatar,Miami University receives
,,Qatar,Miami University receives
International Bank Transfer in Euros (EUR),"8.834,00 €",Réunion,Miami University receives
,,Réunion,Miami University receives
Debit/Credit Card in RON,"RON42.201,00",Romania,Miami University receives
Bank Transfer in Romanian Leu (RON),"RON41.394,00",Romania,Miami University receives
Online Bank Transfer,"RON41.394,00",Romania,Miami University receives
,,Romania,Miami University receives
,,Romania,Miami University receives
,,Romania,Miami University receives
,,Romania,Miami University receives
Debit/Credit Card in RUB,"660.818,00 ???",Russian Federation,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Russian Federation,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Russian Federation,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,842.00",Russian Federation,Miami University receives
Debit/Credit Card in RWF,"9,222,300.00 FRw",Rwanda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Rwanda,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Saint Barthélemy,Miami University receives
PayPal in EUR,"9.003,00 €",Saint Barthélemy,Miami University receives
,,Saint Barthélemy,Miami University receives
,,Saint Barthélemy,Miami University receives
American Express in GBP,"£7,918.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
VISA: Debit/Credit in GBP,"£7,918.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
MasterCard: Debit/Credit in GBP,"£7,918.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
Debit/Credit Card in SHP,"8,035.00 £","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Kitts and Nevis,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Kitts and Nevis,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Lucia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Lucia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Martin (French part),Miami University receives
PayPal in EUR,"9.002,00 €",Saint Pierre and Miquelon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Pierre and Miquelon,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,561.00",Saint Pierre and Miquelon,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Vincent and the Grenadines,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Vincent and the Grenadines,Miami University receives
Debit/Credit Card in WST,"27,227.00 WS$",Samoa,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Samoa,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,064.00",Samoa,Miami University receives
Debit/Credit Card in XOF,"5,937,300.00 CFA",Senegal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,Miami University receives
Debit/Credit Card in XOF,"5,937,300.00 CFA",Senegal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,Miami University receives
Debit/Credit Card in RSD,"???1,068,800.00",Serbia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Serbia,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Serbia,Miami University receives
Debit/Credit Card in SCR,"142,337.00 ?",Seychelles,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Seychelles,Miami University receives
Debit/Credit Card in SLL,"84,604,100.00 Le",Sierra Leone,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sierra Leone,Miami University receives
Bank Transfer in Singapore Dollar(SGD),"S$13,989.00",Singapore,Miami University receives
VISA: Debit/Credit in SGD,"S$14,297.00",Singapore,Miami University receives
MasterCard: Debit/Credit in SGD,"S$14,297.00",Singapore,Miami University receives
American Express in SGD,"S$14,297.00",Singapore,Miami University receives
,,Singapore,Miami University receives
,,Singapore,Miami University receives
Debit/Credit Card in ANG,"18,878.00 NAƒ",Sint Maarten (Dutch part),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sint Maarten (Dutch part),Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.835,00 €",Slovakia,Miami University receives
VISA: Debit/Credit in EUR,"8.920,00 €",Slovakia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Slovakia,Miami University receives
American Express in EUR,"8.920,00 €",Slovakia,Miami University receives
PayPal in EUR,"9.006,00 €",Slovakia,Miami University receives
Online Bank Transfer,"8.835,00 €",Slovakia,Miami University receives
,,Slovakia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.837,00 €",Slovenia,Miami University receives
VISA: Debit/Credit in EUR,"8.922,00 €",Slovenia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.922,00 €",Slovenia,Miami University receives
American Express in EUR,"8.922,00 €",Slovenia,Miami University receives
PayPal in EUR,"9.008,00 €",Slovenia,Miami University receives
Online Bank Transfer,"8.837,00 €",Slovenia,Miami University receives
,,Slovenia,Miami University receives
Debit/Credit Card in SBD,"82,414.00 SI$",Solomon Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Solomon Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Somalia,Miami University receives
Debit/Credit Card in SOS,"6,088,800.00 Sh",Somalia,Miami University receives
Bank Transfer in South African Rand (ZAR),"R141,991.00",South Africa,Miami University receives
VISA: Debit/Credit in ZAR,"R143,628.00",South Africa,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,628.00",South Africa,Miami University receives
American Express in ZAR,"R143,628.00",South Africa,Miami University receives
,,South Africa,Miami University receives
,,South Africa,Miami University receives
,,South Africa,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,918.00",South Georgia and the South Sandwich Islands,Miami University receives
VISA: Debit/Credit in GBP,"£7,918.00",South Georgia and the South Sandwich Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",South Georgia and the South Sandwich Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",South Sudan,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",South Sudan,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Spain,Miami University receives
VISA: Debit/Credit in EUR,"8.919,00 €",Spain,Miami University receives
MasterCard: Debit/Credit in EUR,"8.919,00 €",Spain,Miami University receives
American Express in EUR,"8.919,00 €",Spain,Miami University receives
PayPal in EUR,"9.005,00 €",Spain,Miami University receives
Online Bank Transfer,"8.834,00 €",Spain,Miami University receives
,,Spain,Miami University receives
Debit/Credit Card in LKR,"1,668,800.00 ?",Sri Lanka,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sri Lanka,Miami University receives
Debit/Credit Card in SRD,"78,672.00 $",Suriname,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Suriname,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.508,00",Svalbard and Jan Mayen,Miami University receives
VISA: Debit/Credit in NOK,"kr84.508,00",Svalbard and Jan Mayen,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.220,00",Svalbard and Jan Mayen,Miami University receives
,,Svalbard and Jan Mayen,Miami University receives
Debit/Credit Card in SZL,"E144,331.00",Swaziland,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,583.00",Swaziland,Miami University receives
VISA: Debit/Credit in ZAR,"R143,583.00",Swaziland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Swaziland,Miami University receives
Domestic Bank Transfer in Swedish Krona (SEK),"kr92,222.00",Sweden,Miami University receives
VISA: Debit/Credit in SEK,"kr93,113.00",Sweden,Miami University receives
MasterCard: Debit/Credit in SEK,"kr93,113.00",Sweden,Miami University receives
Online Bank Transfer,"kr92,222.00",Sweden,Miami University receives
,,Sweden,Miami University receives
,,Sweden,Miami University receives
Domestic Bank Transfer in Swiss Francs (CHF),"Fr10,223.00",Switzerland,Miami University receives
VISA: Debit/Credit in CHF,"Fr10,421.00",Switzerland,Miami University receives
MasterCard: Debit/Credit in CHF,"Fr10,421.00",Switzerland,Miami University receives
,,Switzerland,Miami University receives
,,Switzerland,Miami University receives
Debit/Credit Card in TWD,"321,122.00 NT$",Taiwan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Taiwan,Miami University receives
International Bank Transfer in Euros (EUR),"8.834,00 €",Taiwan,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,842.00",Taiwan,Miami University receives
Debit/Credit Card in TJS,"96,444.00 TJS",Tajikistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tajikistan,Miami University receives
Debit/Credit Card in TZS,"Sh23,975,100.00","Tanzania, United Republic of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Tanzania, United Republic of",Miami University receives
Debit/Credit Card in THB,"?349,100.00",Thailand,Miami University receives
Bank Transfer in Thai Baht (THB),"?339,442.00",Thailand,Miami University receives
,,Thailand,Miami University receives
,,Thailand,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Timor-Leste,Miami University receives
VISA: Debit/Credit in XAF,"5,937,700.00 Fr",Togo,Miami University receives
MasterCard: Debit/Credit in XAF,"5,937,700.00 Fr",Togo,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Togo,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,065.00",Tokelau,Miami University receives
,,Tokelau,Miami University receives
Debit/Credit Card in TOP,"T$23,603.00",Tonga,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tonga,Miami University receives
Debit/Credit Card in TTD,"70,981.00 TT$",Trinidad and Tobago,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Trinidad and Tobago,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,567.00",Trinidad and Tobago,Miami University receives
Debit/Credit Card in TND,"27,552.000 dt",Tunisia,Miami University receives
International Bank Transfer in Euros (EUR),"8.839,00 €",Tunisia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tunisia,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,845.00",Tunisia,Miami University receives
Debit/Credit Card in TRY,"48,090.00 TL",Turkey,Miami University receives
Domestic Bank Transfer in Turkish Lira (TRY),"46,855.00 TL",Turkey,Miami University receives
,,Turkey,Miami University receives
,,Turkey,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Turkmenistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Turks and Caicos Islands,Miami University receives
,,Turks and Caicos Islands,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Tuvalu,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Tuvalu,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,066.00",Tuvalu,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tuvalu,Miami University receives
Debit/Credit Card in UGX,"40,886,000.00 USh",Uganda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uganda,Miami University receives
Debit/Credit Card in UAH,"277,918.00 ?",Ukraine,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Ukraine,Miami University receives
VISA: Debit/Credit in EUR,"8.920,00 €",Ukraine,Miami University receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Ukraine,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ukraine,Miami University receives
Bank Transfer in Emirati Dirham (AED),"?.?37,399.00",United Arab Emirates,Miami University receives
Debit/Credit Card in AED,"?.?38,699.00",United Arab Emirates,Miami University receives
American Express in AED,"?.?38,699.00",United Arab Emirates,Miami University receives
,,United Arab Emirates,Miami University receives
,,United Arab Emirates,Miami University receives
Domestic Bank Transfer in British Pounds (GBP),"£7,843.00",United Kingdom,Miami University receives
VISA: Debit/Credit in GBP,"£7,919.00",United Kingdom,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,919.00",United Kingdom,Miami University receives
American Express in GBP,"£7,919.00",United Kingdom,Miami University receives
PayPal in GBP,"£7,995.00",United Kingdom,Miami University receives
Online Bank Transfer,"£7,843.00",United Kingdom,Miami University receives
,,United Kingdom,Miami University receives
,,United Kingdom,Miami University receives
Debit/Credit Card in UYU,"$330.300,00",Uruguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uruguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uzbekistan,Miami University receives
Debit/Credit Card in UZS,"82,986,000.00 ??",Uzbekistan,Miami University receives
Debit/Credit Card in VUV,"Vt1,182,125",Vanuatu,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Vanuatu,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,063.00",Vanuatu,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Holy See (Vatican City State),Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Holy See (Vatican City State),Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Holy See (Vatican City State),Miami University receives
PayPal in EUR,"9.003,00 €",Holy See (Vatican City State),Miami University receives
,,Holy See (Vatican City State),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Venezuela, Bolivarian Republic of",Miami University receives
Debit/Credit Card in VND,"?242.078.400,0",Viet Nam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Viet Nam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, British",Miami University receives
,,"Virgin Islands, British",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, U.S.",Miami University receives
,,"Virgin Islands, U.S.",Miami University receives
Debit/Credit Card in XPF,"1,080,379.00 Fr",Wallis and Futuna,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,058.00",Wallis and Futuna,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Wallis and Futuna,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Western Sahara,Miami University receives
Debit/Credit Card in YER,"2,637,500.00 ?",Yemen,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Yemen,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Zambia,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,844.00",Zambia,Miami University receives
