Debit/Credit Card in AFN,"774,633.00 ?",Afghanistan,Miami University receives
VISA: Debit/Credit in CHF,"Fr10,411.00",Liechtenstein,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Liechtenstein,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Lithuania,Miami University receives
American Express in EUR,"8.917,00 €",Lithuania,Miami University receives
PayPal in EUR,"9.003,00 €",Lithuania,Miami University receives
Online Bank Transfer,"8.832,00 €",Lithuania,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.831,00 €",Luxembourg,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Luxembourg,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Luxembourg,Miami University receives
American Express in EUR,"8.917,00 €",Luxembourg,Miami University receives
PayPal in EUR,"9.003,00 €",Luxembourg,Miami University receives
Debit/Credit Card in MOP,"85,126.00 MOP$",Macao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Macao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Macedonia, the former Yugoslav Republic of",Miami University receives
Debit/Credit Card in MKD,"556,330.00 ???","Macedonia, the former Yugoslav Republic of",Miami University receives
Debit/Credit Card in MGA,"35,411,000.0 Ar",Madagascar,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Madagascar,Miami University receives
Debit/Credit Card in MWK,"7,651,700.00 MK",Malawi,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Malawi,Miami University receives
Debit/Credit Card in MYR,"RM42,640.00",Malaysia,Miami University receives
Domestic Bank Transfer in Malaysian Ringgit (MYR),"RM41,290.00",Malaysia,Miami University receives
Debit/Credit Card in MVR,"162,690.00 Rf",Maldives,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Maldives,Miami University receives
Debit/Credit Card in XOF,"5,936,100.00 CFA",Mali,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mali,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.830,00 €",Malta,Miami University receives
VISA: Debit/Credit in EUR,"8.915,00 €",Malta,Miami University receives
MasterCard: Debit/Credit in EUR,"8.915,00 €",Malta,Miami University receives
American Express in EUR,"8.915,00 €",Malta,Miami University receives
PayPal in EUR,"9.001,00 €",Malta,Miami University receives
Online Bank Transfer,"8.830,00 €",Malta,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Marshall Islands,Miami University receives
International Bank Transfer in Euros (EUR),"8.832,00 €",Martinique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mauritania,Miami University receives
MasterCard: Debit/Credit in MRO,"3,751,800.0 UM",Mauritania,Miami University receives
VISA: Debit/Credit in MRO,"3,751,800.0 UM",Mauritania,Miami University receives
Bank Transfer in Mauritian Rupee (MUR),"?353,740.00",Mauritius,Miami University receives
Debit/Credit Card in MUR,"?365,295.00",Mauritius,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mayotte,Miami University receives
Domestic Bank Transfer in Mexican Pesos (MXN),"$202,014.00",Mexico,Miami University receives
Debit/Credit Card in MXN,"$205,420.00",Mexico,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Micronesia, Federated States of",Miami University receives
Debit/Credit Card in MDL,"177,520.00 MDL","Moldova, Republic of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Moldova, Republic of",Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.828,00 €",Monaco,Miami University receives
VISA: Debit/Credit in EUR,"8.914,00 €",Monaco,Miami University receives
MasterCard: Debit/Credit in EUR,"8.914,00 €",Monaco,Miami University receives
American Express in EUR,"8.914,00 €",Monaco,Miami University receives
PayPal in EUR,"8.999,00 €",Monaco,Miami University receives
Debit/Credit Card in MNT,"25,977,100.00 ?",Mongolia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mongolia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.830,00 €",Montenegro,Miami University receives
VISA: Debit/Credit in EUR,"8.915,00 €",Montenegro,Miami University receives
MasterCard: Debit/Credit in EUR,"8.915,00 €",Montenegro,Miami University receives
American Express in EUR,"8.915,00 €",Montenegro,Miami University receives
PayPal in EUR,"9.001,00 €",Montenegro,Miami University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Montserrat,Miami University receives
VISA: Debit/Credit in XCD,"$28,500.00",Montserrat,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Montserrat,Miami University receives
Debit/Credit Card in MAD,"100,067.00 ?.?.",Morocco,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Morocco,Miami University receives
Debit/Credit Card in MZN,"MTn625.700,00",Mozambique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mozambique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Myanmar,Miami University receives
Debit/Credit Card in NAD,"144,437.00 N$",Namibia,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,680.00",Namibia,Miami University receives
VISA: Debit/Credit in ZAR,"R143,680.00",Namibia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Namibia,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,947.00",Namibia,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,191.00",Nauru,Miami University receives
VISA: Debit/Credit in AUD,"A$14,191.00",Nauru,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nauru,Miami University receives
Debit/Credit Card in NPR,"?1,149,920.00",Nepal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nepal,Miami University receives
Online Bank Transfer,"8.830,00 €",Netherlands,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.830,00 €",Netherlands,Miami University receives
VISA: Debit/Credit in EUR,"8.916,00 €",Netherlands,Miami University receives
MasterCard: Debit/Credit in EUR,"8.916,00 €",Netherlands,Miami University receives
American Express in EUR,"8.916,00 €",Netherlands,Miami University receives
PayPal in EUR,"9.002,00 €",Netherlands,Miami University receives
Debit/Credit Card in XPF,"1,079,603.00 Fr",New Caledonia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",New Caledonia,Miami University receives
Bank Transfer in New Zealand Dollar (NZD),"$15,158.00",New Zealand,Miami University receives
VISA: Debit/Credit in NZD,"$15,492.00",New Zealand,Miami University receives
MasterCard: Debit/Credit in NZD,"$15,492.00",New Zealand,Miami University receives
Debit/Credit Card in NIO,"333,700.00 C$",Nicaragua,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nicaragua,Miami University receives
Debit/Credit Card in XOF,"5,934,400.00 CFA",Niger,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Niger,Miami University receives
Online Bank Transfer in NGN,"3,851,064.00 ?",Nigeria,Miami University receives
Debit/Credit Card in NGN,"3,851,064.00 ?",Nigeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nigeria,Miami University receives
International Bank Transfer in Euros (EUR),"8.829,00 €",Nigeria,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,070.00",Niue,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Norfolk Island,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Norfolk Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Norfolk Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Northern Mariana Islands,Miami University receives
Domestic Bank Transfer in Norwegian Krone (NOK),"kr83.499,00",Norway,Miami University receives
VISA: Debit/Credit in NOK,"kr84.306,00",Norway,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.306,00",Norway,Miami University receives
American Express in NOK,"kr84.306,00",Norway,Miami University receives
Online Bank Transfer,"kr83.499,00",Norway,Miami University receives
Debit/Credit Card in OMR,"?.?.4,052.000",Oman,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Oman,Miami University receives
Debit/Credit Card in PKR,"?1,285,060.00",Pakistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Pakistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Palau,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Palestinian Territory, Occupied",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Panama,Miami University receives
Debit/Credit Card in PGK,"34,429.00 K",Papua New Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Papua New Guinea,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,072.00",Papua New Guinea,Miami University receives
Debit/Credit Card in PYG,"?59,986,700.00",Paraguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Paraguay,Miami University receives
Debit/Credit Card in PEN,"S/.34,638.00",Peru,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Peru,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,793.00",Peru,Miami University receives
International Bank Transfer in Euros (EUR),"8.831,00 €",Peru,Miami University receives
Debit/Credit Card in PHP,"?562,703.00",Philippines,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Philippines,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,074.00",Pitcairn,Miami University receives
Bank Transfer from a Polish Z?oty (PLN) Account,"39,018.00 z?",Poland,Miami University receives
Debit/Credit Card in PLN,"39,778.00 z?",Poland,Miami University receives
Online Bank Transfer,"39,018.00 z?",Poland,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Portugal,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Portugal,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Portugal,Miami University receives
American Express in EUR,"8.917,00 €",Portugal,Miami University receives
PayPal in EUR,"9.003,00 €",Portugal,Miami University receives
Online Bank Transfer,"8.832,00 €",Portugal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Puerto Rico,Miami University receives
Bank Transfer in Qatari Riyal (QAR),"37,449.00 ?.?",Qatar,Miami University receives
Debit/Credit Card in QAR,"38,357.00 ?.?",Qatar,Miami University receives
International Bank Transfer in Euros (EUR),"8.830,00 €",Réunion,Miami University receives
Debit/Credit Card in RON,"RON42.171,00",Romania,Miami University receives
Bank Transfer in Romanian Leu (RON),"RON40.837,00",Romania,Miami University receives
Online Bank Transfer,"RON41.365,00",Romania,Miami University receives
Debit/Credit Card in RUB,"662.300,00 ???",Russian Federation,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Russian Federation,Miami University receives
International Bank Transfer in Euros (EUR),"8.830,00 €",Russian Federation,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,793.00",Russian Federation,Miami University receives
Debit/Credit Card in RWF,"9,187,400.00 FRw",Rwanda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Rwanda,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.830,00 €",Saint Barthélemy,Miami University receives
PayPal in EUR,"9.001,00 €",Saint Barthélemy,Miami University receives
American Express in GBP,"£7,869.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
VISA: Debit/Credit in GBP,"£7,869.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
MasterCard: Debit/Credit in GBP,"£7,869.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
Debit/Credit Card in SHP,"7,986.00 £","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Kitts and Nevis,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Kitts and Nevis,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Lucia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Lucia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Martin (French part),Miami University receives
PayPal in EUR,"9.001,00 €",Saint Pierre and Miquelon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Pierre and Miquelon,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,489.00",Saint Pierre and Miquelon,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Vincent and the Grenadines,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Vincent and the Grenadines,Miami University receives
Debit/Credit Card in WST,"27,367.00 WS$",Samoa,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Samoa,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,077.00",Samoa,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",San Marino,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",San Marino,Miami University receives
PayPal in EUR,"9.003,00 €",San Marino,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",San Marino,Miami University receives
Debit/Credit Card in XOF,"5,935,300.00 CFA",Senegal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,Miami University receives
Debit/Credit Card in XOF,"5,935,300.00 CFA",Senegal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,Miami University receives
Debit/Credit Card in RSD,"???1,067,600.00",Serbia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Serbia,Miami University receives
International Bank Transfer in Euros (EUR),"8.832,00 €",Serbia,Miami University receives
Debit/Credit Card in SCR,"142,623.00 ?",Seychelles,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Seychelles,Miami University receives
Debit/Credit Card in SLL,"85,654,700.00 Le",Sierra Leone,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sierra Leone,Miami University receives
Bank Transfer in Singapore Dollar(SGD),"S$13,987.00",Singapore,Miami University receives
VISA: Debit/Credit in SGD,"S$14,295.00",Singapore,Miami University receives
MasterCard: Debit/Credit in SGD,"S$14,295.00",Singapore,Miami University receives
American Express in SGD,"S$14,295.00",Singapore,Miami University receives
Debit/Credit Card in ANG,"18,895.00 NAƒ",Sint Maarten (Dutch part),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sint Maarten (Dutch part),Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.833,00 €",Slovakia,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Slovakia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Slovakia,Miami University receives
American Express in EUR,"8.918,00 €",Slovakia,Miami University receives
PayPal in EUR,"9.004,00 €",Slovakia,Miami University receives
Online Bank Transfer,"8.833,00 €",Slovakia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Slovenia,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Slovenia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Slovenia,Miami University receives
American Express in EUR,"8.917,00 €",Slovenia,Miami University receives
PayPal in EUR,"9.003,00 €",Slovenia,Miami University receives
Online Bank Transfer,"8.832,00 €",Slovenia,Miami University receives
Debit/Credit Card in SBD,"83,426.00 SI$",Solomon Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Solomon Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Somalia,Miami University receives
Debit/Credit Card in SOS,"6,073,400.00 Sh",Somalia,Miami University receives
Bank Transfer in South African Rand (ZAR),"R141,259.00",South Africa,Miami University receives
VISA: Debit/Credit in ZAR,"R143,628.00",South Africa,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,628.00",South Africa,Miami University receives
American Express in ZAR,"R143,628.00",South Africa,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,862.00",South Georgia and the South Sandwich Islands,Miami University receives
VISA: Debit/Credit in GBP,"£7,862.00",South Georgia and the South Sandwich Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",South Georgia and the South Sandwich Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",South Sudan,Miami University receives
International Bank Transfer in Euros (EUR),"8.830,00 €",South Sudan,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.829,00 €",Spain,Miami University receives
VISA: Debit/Credit in EUR,"8.915,00 €",Spain,Miami University receives
MasterCard: Debit/Credit in EUR,"8.915,00 €",Spain,Miami University receives
American Express in EUR,"8.915,00 €",Spain,Miami University receives
PayPal in EUR,"9.001,00 €",Spain,Miami University receives
Online Bank Transfer,"8.829,00 €",Spain,Miami University receives
Debit/Credit Card in LKR,"1,672,800.00 ?",Sri Lanka,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sri Lanka,Miami University receives
Debit/Credit Card in SRD,"78,652.00 $",Suriname,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Suriname,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.335,00",Svalbard and Jan Mayen,Miami University receives
VISA: Debit/Credit in NOK,"kr84.335,00",Svalbard and Jan Mayen,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.052,00",Svalbard and Jan Mayen,Miami University receives
Debit/Credit Card in SZL,"E144,408.00",Swaziland,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,570.00",Swaziland,Miami University receives
VISA: Debit/Credit in ZAR,"R143,570.00",Swaziland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Swaziland,Miami University receives
Domestic Bank Transfer in Swedish Krona (SEK),"kr90,678.00",Sweden,Miami University receives
VISA: Debit/Credit in SEK,"kr91,554.00",Sweden,Miami University receives
MasterCard: Debit/Credit in SEK,"kr91,554.00",Sweden,Miami University receives
Online Bank Transfer,"kr90,678.00",Sweden,Miami University receives
Domestic Bank Transfer in Swiss Francs (CHF),"Fr10,211.00",Switzerland,Miami University receives
VISA: Debit/Credit in CHF,"Fr10,409.00",Switzerland,Miami University receives
MasterCard: Debit/Credit in CHF,"Fr10,409.00",Switzerland,Miami University receives
Debit/Credit Card in TWD,"319,607.00 NT$",Taiwan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Taiwan,Miami University receives
International Bank Transfer in Euros (EUR),"8.831,00 €",Taiwan,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,788.00",Taiwan,Miami University receives
,"96,687.00 TJS",Tajikistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tajikistan,Miami University receives
,"Sh23,973,100.00","Tanzania, United Republic of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Tanzania, United Republic of",Miami University receives
Debit/Credit Card in THB,"?349,057.00",Thailand,Miami University receives
Bank Transfer in Thai Baht (THB),"?339,401.00",Thailand,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Timor-Leste,Miami University receives
VISA: Debit/Credit in XAF,"5,935,100.00 Fr",Togo,Miami University receives
MasterCard: Debit/Credit in XAF,"5,935,100.00 Fr",Togo,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Togo,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,078.00",Tokelau,Miami University receives
Debit/Credit Card in TOP,"T$24,082.00",Tonga,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tonga,Miami University receives
,"70,867.00 TT$",Trinidad and Tobago,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Trinidad and Tobago,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,494.00",Trinidad and Tobago,Miami University receives
Debit/Credit Card in TND,"27,604.000 dt",Tunisia,Miami University receives
International Bank Transfer in Euros (EUR),"8.832,00 €",Tunisia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tunisia,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,788.00",Tunisia,Miami University receives
Debit/Credit Card in TRY,"49,680.00 TL",Turkey,Miami University receives
Domestic Bank Transfer in Turkish Lira (TRY),"48,405.00 TL",Turkey,Miami University receives
,"$10,000.00",Turkmenistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Turks and Caicos Islands,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,188.00",Tuvalu,Miami University receives
VISA: Debit/Credit in AUD,"A$14,188.00",Tuvalu,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,077.00",Tuvalu,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tuvalu,Miami University receives
Debit/Credit Card in UGX,"40,600,000.00 USh",Uganda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uganda,Miami University receives
Debit/Credit Card in UAH,"277,000.00 ?",Ukraine,Miami University receives
International Bank Transfer in Euros (EUR),"8.830,00 €",Ukraine,Miami University receives
VISA: Debit/Credit in EUR,"8.915,00 €",Ukraine,Miami University receives
MasterCard: Debit/Credit in EUR,"8.915,00 €",Ukraine,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ukraine,Miami University receives
Bank Transfer in Emirati Dirham (AED),"?.?37,285.00",United Arab Emirates,Miami University receives
Debit/Credit Card in AED,"?.?38,699.00",United Arab Emirates,Miami University receives
American Express in AED,"?.?38,699.00",United Arab Emirates,Miami University receives
Domestic Bank Transfer in British Pounds (GBP),"£7,786.00",United Kingdom,Miami University receives
VISA: Debit/Credit in GBP,"£7,861.00",United Kingdom,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,861.00",United Kingdom,Miami University receives
American Express in GBP,"£7,861.00",United Kingdom,Miami University receives
PayPal in GBP,"£7,937.00",United Kingdom,Miami University receives
Online Bank Transfer,"£7,786.00",United Kingdom,Miami University receives
Debit/Credit Card in UYU,"$331.400,00",Uruguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uruguay,Miami University receives
,"$10,000.00",Uzbekistan,Miami University receives
Debit/Credit Card in UZS,"82,711,000.00 ??",Uzbekistan,Miami University receives
Debit/Credit Card in VUV,"Vt1,176,882",Vanuatu,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Vanuatu,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,076.00",Vanuatu,Miami University receives
MasterCard: Debit/Credit in EUR,"8.916,00 €",Holy See (Vatican City State),Miami University receives
VISA: Debit/Credit in EUR,"8.916,00 €",Holy See (Vatican City State),Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.831,00 €",Holy See (Vatican City State),Miami University receives
PayPal in EUR,"9.002,00 €",Holy See (Vatican City State),Miami University receives
,"$10,000.00","Venezuela, Bolivarian Republic of",Miami University receives
MasterCard: Debit/Credit in VND,"?241.863.200,0",Viet Nam,Miami University receives
VISA: Debit/Credit in VND,"?241.863.200,0",Viet Nam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Viet Nam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, British",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, U.S.",Miami University receives
Debit/Credit Card in XPF,"1,079,724.00 Fr",Wallis and Futuna,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,072.00",Wallis and Futuna,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Wallis and Futuna,Miami University receives
,"$10,000.00",Western Sahara,Miami University receives
,"2,641,900.00 ?",Yemen,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Yemen,Miami University receives
,"$10,000.00",Zambia,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,944.00",Zambia,Miami University receives
,"$10,000.00",Zimbabwe,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,955.00",Zimbabwe,Miami University receives
