Pyment_method,Pt_Amount,From_Country,Institute
VISA: Debit/Credit in CHF,"Fr10,400.00",Liechtenstein,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Liechtenstein,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.814,00 €",Lithuania,Miami University receives
American Express in EUR,"8.900,00 €",Lithuania,Miami University receives
PayPal in EUR,"8.985,00 €",Lithuania,Miami University receives
Online Bank Transfer,"8.814,00 €",Lithuania,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Luxembourg,Miami University receives
VISA: Debit/Credit in EUR,"8.898,00 €",Luxembourg,Miami University receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Luxembourg,Miami University receives
American Express in EUR,"8.898,00 €",Luxembourg,Miami University receives
PayPal in EUR,"8.984,00 €",Luxembourg,Miami University receives
Debit/Credit Card in MOP,"85,126.00 MOP$",Macao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Macao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Macedonia, the former Yugoslav Republic of",Miami University receives
Debit/Credit Card in MKD,"555,360.00 ???","Macedonia, the former Yugoslav Republic of",Miami University receives
Debit/Credit Card in MGA,"35,483,000.0 Ar",Madagascar,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Madagascar,Miami University receives
Debit/Credit Card in MWK,"7,651,100.00 MK",Malawi,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Malawi,Miami University receives
Debit/Credit Card in MYR,"RM42,640.00",Malaysia,Miami University receives
Domestic Bank Transfer in Malaysian Ringgit (MYR),"RM41,290.00",Malaysia,Miami University receives
Debit/Credit Card in MVR,"162,460.00 Rf",Maldives,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Maldives,Miami University receives
Debit/Credit Card in XOF,"5,924,100.00 CFA",Mali,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mali,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Malta,Miami University receives
VISA: Debit/Credit in EUR,"8.898,00 €",Malta,Miami University receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Malta,Miami University receives
American Express in EUR,"8.898,00 €",Malta,Miami University receives
PayPal in EUR,"8.984,00 €",Malta,Miami University receives
Online Bank Transfer,"8.813,00 €",Malta,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Marshall Islands,Miami University receives
International Bank Transfer in Euros (EUR),"8.812,00 €",Martinique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mauritania,Miami University receives
MasterCard: Debit/Credit in MRO,"3,751,700.0 UM",Mauritania,Miami University receives
VISA: Debit/Credit in MRO,"3,751,700.0 UM",Mauritania,Miami University receives
Bank Transfer in Mauritian Rupee (MUR),"?354,598.00",Mauritius,Miami University receives
Debit/Credit Card in MUR,"?366,181.00",Mauritius,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mayotte,Miami University receives
Domestic Bank Transfer in Mexican Pesos (MXN),"$201,714.00",Mexico,Miami University receives
Debit/Credit Card in MXN,"$205,115.00",Mexico,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Micronesia, Federated States of",Miami University receives
Debit/Credit Card in MDL,"177,370.00 MDL","Moldova, Republic of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Moldova, Republic of",Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.814,00 €",Monaco,Miami University receives
VISA: Debit/Credit in EUR,"8.899,00 €",Monaco,Miami University receives
MasterCard: Debit/Credit in EUR,"8.899,00 €",Monaco,Miami University receives
American Express in EUR,"8.899,00 €",Monaco,Miami University receives
PayPal in EUR,"8.985,00 €",Monaco,Miami University receives
Debit/Credit Card in MNT,"25,949,000.00 ?",Mongolia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mongolia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.812,00 €",Montenegro,Miami University receives
VISA: Debit/Credit in EUR,"8.897,00 €",Montenegro,Miami University receives
MasterCard: Debit/Credit in EUR,"8.897,00 €",Montenegro,Miami University receives
American Express in EUR,"8.897,00 €",Montenegro,Miami University receives
PayPal in EUR,"8.983,00 €",Montenegro,Miami University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Montserrat,Miami University receives
VISA: Debit/Credit in XCD,"$28,500.00",Montserrat,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Montserrat,Miami University receives
Debit/Credit Card in MAD,"99,931.00 ?.?.",Morocco,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Morocco,Miami University receives
Debit/Credit Card in MZN,"MTn625.700,00",Mozambique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Mozambique,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Myanmar,Miami University receives
Debit/Credit Card in NAD,"143,648.00 N$",Namibia,Miami University receives
MasterCard: Debit/Credit in ZAR,"R142,805.00",Namibia,Miami University receives
VISA: Debit/Credit in ZAR,"R142,805.00",Namibia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Namibia,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,089.00",Namibia,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,150.00",Nauru,Miami University receives
VISA: Debit/Credit in AUD,"A$14,150.00",Nauru,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nauru,Miami University receives
Debit/Credit Card in NPR,"?1,147,690.00",Nepal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nepal,Miami University receives
Online Bank Transfer,"8.814,00 €",Netherlands,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.814,00 €",Netherlands,Miami University receives
VISA: Debit/Credit in EUR,"8.899,00 €",Netherlands,Miami University receives
MasterCard: Debit/Credit in EUR,"8.899,00 €",Netherlands,Miami University receives
American Express in EUR,"8.899,00 €",Netherlands,Miami University receives
PayPal in EUR,"8.985,00 €",Netherlands,Miami University receives
Debit/Credit Card in XPF,"1,077,577.00 Fr",New Caledonia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",New Caledonia,Miami University receives
Bank Transfer in New Zealand Dollar (NZD),"$15,149.00",New Zealand,Miami University receives
VISA: Debit/Credit in NZD,"$15,483.00",New Zealand,Miami University receives
MasterCard: Debit/Credit in NZD,"$15,483.00",New Zealand,Miami University receives
Debit/Credit Card in NIO,"333,600.00 C$",Nicaragua,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nicaragua,Miami University receives
Debit/Credit Card in XOF,"5,923,600.00 CFA",Niger,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Niger,Miami University receives
Online Bank Transfer in NGN,"3,851,064.00 ?",Nigeria,Miami University receives
Debit/Credit Card in NGN,"3,851,064.00 ?",Nigeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Nigeria,Miami University receives
International Bank Transfer in Euros (EUR),"8.812,00 €",Nigeria,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,061.00",Niue,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,152.00",Norfolk Island,Miami University receives
VISA: Debit/Credit in AUD,"A$14,152.00",Norfolk Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Norfolk Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Northern Mariana Islands,Miami University receives
Domestic Bank Transfer in Norwegian Krone (NOK),"kr83.544,00",Norway,Miami University receives
VISA: Debit/Credit in NOK,"kr84.351,00",Norway,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.351,00",Norway,Miami University receives
American Express in NOK,"kr84.351,00",Norway,Miami University receives
Online Bank Transfer,"kr83.544,00",Norway,Miami University receives
Debit/Credit Card in OMR,"?.?.4,052.000",Oman,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Oman,Miami University receives
Debit/Credit Card in PKR,"?1,285,350.00",Pakistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Pakistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Palau,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Palestinian Territory, Occupied",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Panama,Miami University receives
Debit/Credit Card in PGK,"34,333.00 K",Papua New Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Papua New Guinea,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,062.00",Papua New Guinea,Miami University receives
Debit/Credit Card in PYG,"?59,974,900.00",Paraguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Paraguay,Miami University receives
Debit/Credit Card in PEN,"S/.34,637.00",Peru,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Peru,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,786.00",Peru,Miami University receives
International Bank Transfer in Euros (EUR),"8.812,00 €",Peru,Miami University receives
Debit/Credit Card in PHP,"?562,484.00",Philippines,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Philippines,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,060.00",Pitcairn,Miami University receives
Bank Transfer from a Polish Z?oty (PLN) Account,"38,951.00 z?",Poland,Miami University receives
Debit/Credit Card in PLN,"39,711.00 z?",Poland,Miami University receives
Online Bank Transfer,"38,951.00 z?",Poland,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Portugal,Miami University receives
VISA: Debit/Credit in EUR,"8.898,00 €",Portugal,Miami University receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Portugal,Miami University receives
American Express in EUR,"8.898,00 €",Portugal,Miami University receives
PayPal in EUR,"8.983,00 €",Portugal,Miami University receives
Online Bank Transfer,"8.813,00 €",Portugal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Puerto Rico,Miami University receives
Bank Transfer in Qatari Riyal (QAR),"37,449.00 ?.?",Qatar,Miami University receives
Debit/Credit Card in QAR,"38,357.00 ?.?",Qatar,Miami University receives
International Bank Transfer in Euros (EUR),"8.814,00 €",Réunion,Miami University receives
Debit/Credit Card in RON,"RON42.087,00",Romania,Miami University receives
Bank Transfer in Romanian Leu (RON),"RON40.756,00",Romania,Miami University receives
Online Bank Transfer,"RON41.283,00",Romania,Miami University receives
Debit/Credit Card in RUB,"660.958,00 ???",Russian Federation,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Russian Federation,Miami University receives
International Bank Transfer in Euros (EUR),"8.813,00 €",Russian Federation,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,788.00",Russian Federation,Miami University receives
Debit/Credit Card in RWF,"9,192,400.00 FRw",Rwanda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Rwanda,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Saint Barthélemy,Miami University receives
PayPal in EUR,"8.984,00 €",Saint Barthélemy,Miami University receives
American Express in GBP,"£7,864.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
VISA: Debit/Credit in GBP,"£7,864.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
MasterCard: Debit/Credit in GBP,"£7,864.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
Debit/Credit Card in SHP,"7,980.00 £","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Saint Helena, Ascension and Tristan da Cunha",Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Kitts and Nevis,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Kitts and Nevis,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Lucia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Lucia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Martin (French part),Miami University receives
PayPal in EUR,"8.984,00 €",Saint Pierre and Miquelon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Pierre and Miquelon,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,473.00",Saint Pierre and Miquelon,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Saint Vincent and the Grenadines,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Saint Vincent and the Grenadines,Miami University receives
Debit/Credit Card in WST,"27,420.00 WS$",Samoa,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Samoa,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,065.00",Samoa,Miami University receives
MasterCard: Debit/Credit in EUR,"8.899,00 €",San Marino,Miami University receives
VISA: Debit/Credit in EUR,"8.899,00 €",San Marino,Miami University receives
PayPal in EUR,"8.985,00 €",San Marino,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",San Marino,Miami University receives
Debit/Credit Card in XOF,"5,924,000.00 CFA",Senegal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,Miami University receives
Debit/Credit Card in XOF,"5,924,000.00 CFA",Senegal,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Senegal,Miami University receives
Debit/Credit Card in RSD,"???1,065,900.00",Serbia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Serbia,Miami University receives
International Bank Transfer in Euros (EUR),"8.814,00 €",Serbia,Miami University receives
Debit/Credit Card in SCR,"142,336.00 ?",Seychelles,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Seychelles,Miami University receives
Debit/Credit Card in SLL,"85,644,000.00 Le",Sierra Leone,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sierra Leone,Miami University receives
Bank Transfer in Singapore Dollar(SGD),"S$13,979.00",Singapore,Miami University receives
VISA: Debit/Credit in SGD,"S$14,287.00",Singapore,Miami University receives
MasterCard: Debit/Credit in SGD,"S$14,287.00",Singapore,Miami University receives
American Express in SGD,"S$14,287.00",Singapore,Miami University receives
Debit/Credit Card in ANG,"18,954.00 NAƒ",Sint Maarten (Dutch part),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sint Maarten (Dutch part),Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Slovakia,Miami University receives
VISA: Debit/Credit in EUR,"8.898,00 €",Slovakia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Slovakia,Miami University receives
American Express in EUR,"8.898,00 €",Slovakia,Miami University receives
PayPal in EUR,"8.984,00 €",Slovakia,Miami University receives
Online Bank Transfer,"8.813,00 €",Slovakia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Slovenia,Miami University receives
VISA: Debit/Credit in EUR,"8.898,00 €",Slovenia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Slovenia,Miami University receives
American Express in EUR,"8.898,00 €",Slovenia,Miami University receives
PayPal in EUR,"8.984,00 €",Slovenia,Miami University receives
Online Bank Transfer,"8.813,00 €",Slovenia,Miami University receives
Debit/Credit Card in SBD,"83,457.00 SI$",Solomon Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Solomon Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Somalia,Miami University receives
Debit/Credit Card in SOS,"6,074,100.00 Sh",Somalia,Miami University receives
Bank Transfer in South African Rand (ZAR),"R140,683.00",South Africa,Miami University receives
VISA: Debit/Credit in ZAR,"R143,042.00",South Africa,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,042.00",South Africa,Miami University receives
American Express in ZAR,"R143,042.00",South Africa,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,863.00",South Georgia and the South Sandwich Islands,Miami University receives
VISA: Debit/Credit in GBP,"£7,863.00",South Georgia and the South Sandwich Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",South Georgia and the South Sandwich Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",South Sudan,Miami University receives
International Bank Transfer in Euros (EUR),"8.813,00 €",South Sudan,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.813,00 €",Spain,Miami University receives
VISA: Debit/Credit in EUR,"8.898,00 €",Spain,Miami University receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Spain,Miami University receives
American Express in EUR,"8.898,00 €",Spain,Miami University receives
PayPal in EUR,"8.984,00 €",Spain,Miami University receives
Online Bank Transfer,"8.813,00 €",Spain,Miami University receives
Debit/Credit Card in LKR,"1,671,800.00 ?",Sri Lanka,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Sri Lanka,Miami University receives
Debit/Credit Card in SRD,"78,675.00 $",Suriname,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Suriname,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.347,00",Svalbard and Jan Mayen,Miami University receives
VISA: Debit/Credit in NOK,"kr84.347,00",Svalbard and Jan Mayen,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.063,00",Svalbard and Jan Mayen,Miami University receives
Debit/Credit Card in SZL,"E143,788.00",Swaziland,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,046.00",Swaziland,Miami University receives
VISA: Debit/Credit in ZAR,"R143,046.00",Swaziland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Swaziland,Miami University receives
Domestic Bank Transfer in Swedish Krona (SEK),"kr90,795.00",Sweden,Miami University receives
VISA: Debit/Credit in SEK,"kr91,671.00",Sweden,Miami University receives
MasterCard: Debit/Credit in SEK,"kr91,671.00",Sweden,Miami University receives
Online Bank Transfer,"kr90,795.00",Sweden,Miami University receives
Domestic Bank Transfer in Swiss Francs (CHF),"Fr10,198.00",Switzerland,Miami University receives
VISA: Debit/Credit in CHF,"Fr10,396.00",Switzerland,Miami University receives
MasterCard: Debit/Credit in CHF,"Fr10,396.00",Switzerland,Miami University receives
Debit/Credit Card in TWD,"319,719.00 NT$",Taiwan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Taiwan,Miami University receives
International Bank Transfer in Euros (EUR),"8.814,00 €",Taiwan,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,789.00",Taiwan,Miami University receives
Debit/Credit Card in TJS,"96,687.00 TJS",Tajikistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tajikistan,Miami University receives
Debit/Credit Card in TZS,"Sh23,966,700.00","Tanzania, United Republic of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Tanzania, United Republic of",Miami University receives
Debit/Credit Card in THB,"?349,068.00",Thailand,Miami University receives
Bank Transfer in Thai Baht (THB),"?339,412.00",Thailand,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Timor-Leste,Miami University receives
VISA: Debit/Credit in XAF,"5,923,700.00 Fr",Togo,Miami University receives
MasterCard: Debit/Credit in XAF,"5,923,700.00 Fr",Togo,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Togo,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,073.00",Tokelau,Miami University receives
Debit/Credit Card in TOP,"T$24,078.00",Tonga,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tonga,Miami University receives
Debit/Credit Card in TTD,"70,828.00 TT$",Trinidad and Tobago,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Trinidad and Tobago,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,473.00",Trinidad and Tobago,Miami University receives
Debit/Credit Card in TND,"27,755.000 dt",Tunisia,Miami University receives
International Bank Transfer in Euros (EUR),"8.811,00 €",Tunisia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tunisia,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,789.00",Tunisia,Miami University receives
Debit/Credit Card in TRY,"49,257.00 TL",Turkey,Miami University receives
Domestic Bank Transfer in Turkish Lira (TRY),"47,993.00 TL",Turkey,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Turkmenistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Turks and Caicos Islands,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,168.00",Tuvalu,Miami University receives
VISA: Debit/Credit in AUD,"A$14,168.00",Tuvalu,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,075.00",Tuvalu,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Tuvalu,Miami University receives
Debit/Credit Card in UGX,"40,629,000.00 USh",Uganda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uganda,Miami University receives
Debit/Credit Card in UAH,"276,928.00 ?",Ukraine,Miami University receives
International Bank Transfer in Euros (EUR),"8.812,00 €",Ukraine,Miami University receives
VISA: Debit/Credit in EUR,"8.897,00 €",Ukraine,Miami University receives
MasterCard: Debit/Credit in EUR,"8.897,00 €",Ukraine,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ukraine,Miami University receives
Bank Transfer in Emirati Dirham (AED),"?.?37,285.00",United Arab Emirates,Miami University receives
Debit/Credit Card in AED,"?.?38,699.00",United Arab Emirates,Miami University receives
American Express in AED,"?.?38,699.00",United Arab Emirates,Miami University receives
Domestic Bank Transfer in British Pounds (GBP),"£7,789.00",United Kingdom,Miami University receives
VISA: Debit/Credit in GBP,"£7,865.00",United Kingdom,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,865.00",United Kingdom,Miami University receives
American Express in GBP,"£7,865.00",United Kingdom,Miami University receives
PayPal in GBP,"£7,940.00",United Kingdom,Miami University receives
Online Bank Transfer,"£7,789.00",United Kingdom,Miami University receives
Debit/Credit Card in UYU,"$331.500,00",Uruguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uruguay,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Uzbekistan,Miami University receives
Debit/Credit Card in UZS,"82,752,000.00 ??",Uzbekistan,Miami University receives
Debit/Credit Card in VUV,"Vt1,179,682",Vanuatu,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Vanuatu,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,077.00",Vanuatu,Miami University receives
MasterCard: Debit/Credit in EUR,"8.899,00 €",Holy See (Vatican City State),Miami University receives
VISA: Debit/Credit in EUR,"8.899,00 €",Holy See (Vatican City State),Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.814,00 €",Holy See (Vatican City State),Miami University receives
PayPal in EUR,"8.984,00 €",Holy See (Vatican City State),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Venezuela, Bolivarian Republic of",Miami University receives
MasterCard: Debit/Credit in VND,"?241.397.100,0",Viet Nam,Miami University receives
VISA: Debit/Credit in VND,"?241.397.100,0",Viet Nam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Viet Nam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, British",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, U.S.",Miami University receives
Debit/Credit Card in XPF,"1,077,615.00 Fr",Wallis and Futuna,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,077.00",Wallis and Futuna,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Wallis and Futuna,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Western Sahara,Miami University receives
Debit/Credit Card in YER,"2,642,600.00 ?",Yemen,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Yemen,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Zambia,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,524.00",Zambia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Zimbabwe,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,527.00",Zimbabwe,Miami University receives
